Uber,$162.38 B,$78.20 ,USA
UBER,,,
,,,
Caterpillar,$161.73 B,$323.88 ,USA
CAT,,,
,,,
Nike,$160.04 B,$105.63 ,USA
NKE,,,
,,,
ServiceNow,$158.04 B,$770.97 ,USA
NOW,,,
,,,
Pfizer,$156.74 B,$27.76 ,USA
PFE,,,
,,,
Union Pacific Corporation,$156.65 B,$256.91 ,USA
UNP,,,
,,,
American Express,$155.31 B,$214.56 ,USA
AXP,,,
,,,
Dior,$155.17 B,$860.13 ,France
CDI.PA,,,
,,,
Amgen,$154.97 B,$289.18 ,USA
AMGN,,,
,,,
TotalEnergies,$150.62 B,$64.51 ,France
TTE,,,
,,,
Siemens,$149.91 B,$189.78 ,Germany
SIE.DE,,,
,,,
Texas Instruments,$148.84 B,$163.69 ,USA
TXN,,,
,,,
BHP Group,$147.55 B,$58.31 ,Australia
BHP,,,
,,,
HSBC,$145.72 B,$38.20 ,UK
HSBC,,,
,,,
Philip Morris,$142.14 B,$91.56 ,USA
PM,,,
,,,
Morgan Stanley,$142.05 B,$86.55 ,USA
MS,,,
,,,
Inditex,$138.78 B,$22.29 ,Spain
IDEXY,,,
,,,
Royal Bank Of Canada,$138.76 B,$98.66 ,Canada
RY,,,
,,,
S&P Global,$137.66 B,$438.27 ,USA
SPGI,,,
,,,
Intuitive Surgical,$137.32 B,$389.77 ,USA
ISRG,,,
,,,
Arm Holdings,$137.08 B,$133.34 ,UK
ARM,,,
,,,
HDFC Bank,$136.72 B,$54.00 ,India
HDB,,,
,,,
Stryker Corporation,$135.00 B,$355.03 ,USA
SYK,,,
